#ai table:
#i	c[i]	a[i]	C[i]	b[i]
1	160.472	0.911581	160.366	0.553709
2	320.943	0.0529893	320.732	0.0642615
3	481.415	0.0167094	481.098	0.0309029
4	641.887	0.00750062	641.464	0.0183709
5	802.359	0.0040001	801.83	0.0123025
6	962.83	0.00567233	962.196	0.0235548
#depth	real_P(x)	real_F(x)	est_P(x)	est_F(x)
49	0.000229808	0.000171681	1.08234e-19	1.35221e-19
50	0.000229879	0.000175238	2.1612e-19	2.71639e-19
51	0.000226706	0.000176276	4.28863e-19	5.42292e-19
52	0.000225828	0.000179036	8.45737e-19	1.07589e-18
53	0.000218978	0.000176945	1.65747e-18	2.12125e-18
54	0.000217567	0.000179121	3.22812e-18	4.15632e-18
55	0.000217268	0.000182187	6.2481e-18	8.09315e-18
56	0.000219898	0.000187746	1.20182e-17	1.56609e-17
57	0.000217742	0.000189224	2.29733e-17	3.01169e-17
58	0.000216369	0.00019133	4.36418e-17	5.75565e-17
59	0.000217993	0.000196089	8.23902e-17	1.09313e-16
60	0.000218766	0.00020012	1.54576e-16	2.06319e-16
61	0.000221104	0.00020563	2.88205e-16	3.86989e-16
62	0.000225165	0.000212839	5.34016e-16	7.21357e-16
63	0.00022813	0.000219121	9.83334e-16	1.33627e-15
64	0.000230112	0.000224533	1.79946e-15	2.45997e-15
65	0.000233117	0.000231019	3.27247e-15	4.50046e-15
66	0.000236343	0.000237819	5.9143e-15	8.18231e-15
67	0.000242119	0.000247322	1.06225e-14	1.47838e-14
68	0.000243107	0.000252038	1.89601e-14	2.65454e-14
69	0.000246609	0.000259428	3.36317e-14	4.7368e-14
70	0.000247351	0.000263981	5.92859e-14	8.39984e-14
71	0.000250387	0.000271038	1.0386e-13	1.4803e-13
72	0.000251385	0.000275951	1.80816e-13	2.59251e-13
73	0.000254849	0.000283639	3.12838e-13	4.51214e-13
74	0.000255271	0.000288001	5.37894e-13	7.80434e-13
75	0.000251926	0.000288068	9.1911e-13	1.34147e-12
76	0.000251109	0.000290962	1.56074e-12	2.2915e-12
77	0.000250369	0.000293921	2.63384e-12	3.89e-12
78	0.000246935	0.000293655	4.41714e-12	6.56252e-12
79	0.000245387	0.000295555	7.36184e-12	1.10023e-11
80	0.000247096	0.000301381	1.21934e-11	1.83311e-11
81	0.000246663	0.000304613	2.00705e-11	3.03519e-11
82	0.000242699	0.000303418	3.28309e-11	4.9943e-11
83	0.000241163	0.000305175	5.33707e-11	8.16687e-11
84	0.00023718	0.000303751	8.62216e-11	1.32717e-10
85	0.000234787	0.000304266	1.38428e-10	2.14335e-10
86	0.000233566	0.000306244	2.20863e-10	3.43992e-10
87	0.000229611	0.00030456	3.50202e-10	5.48652e-10
88	0.000228952	0.000307176	5.51831e-10	8.69635e-10
89	0.000227044	0.000308078	8.64147e-10	1.36984e-09
90	0.000227115	0.000311636	1.34481e-09	2.14433e-09
91	0.000226145	0.000313753	2.07985e-09	3.33586e-09
92	0.000225358	0.000316097	3.19664e-09	5.15722e-09
93	0.00022546	0.000319678	4.88258e-09	7.92346e-09
94	0.000224794	0.00032216	7.41139e-09	1.20978e-08
95	0.000224341	0.000324931	1.118e-08	1.83565e-08
96	0.000226735	0.000331856	1.67602e-08	2.76798e-08
97	0.000228798	0.000338364	2.49695e-08	4.14792e-08
98	0.000233371	0.000348685	3.69687e-08	6.17716e-08
99	0.00023753	0.00035852	5.43942e-08	9.14196e-08
100	0.000242367	0.000369516	7.9536e-08	1.34456e-07
101	0.000246568	0.00037968	1.15576e-07	1.96524e-07
102	0.000251381	0.000390925	1.66904e-07	2.85458e-07
103	0.000256799	0.000403264	2.3953e-07	4.12059e-07
104	0.000262089	0.000415568	3.41623e-07	5.91111e-07
105	0.000268855	0.000430395	4.84202e-07	8.42695e-07
106	0.000272769	0.00044082	6.82024e-07	1.19389e-06
107	0.0002771	0.000452044	9.54699e-07	1.68093e-06
108	0.000279892	0.000460866	1.32809e-06	2.35194e-06
109	0.000284588	0.000472936	1.83604e-06	3.27036e-06
110	0.000290404	0.00048703	2.52249e-06	4.51914e-06
111	0.000298892	0.000505822	3.44406e-06	6.20596e-06
112	0.000306038	0.000522581	4.67311e-06	8.46941e-06
113	0.000314845	0.00054242	6.30137e-06	1.14865e-05
