#ai table:
#i	c[i]	a[i]	C[i]	b[i]
0.5	80.2359	0.0539587	80.183	0.0236418
1	160.472	0.855375	160.366	0.608001
1.5	240.708	0.0107247	240.549	0.0114633
2	320.943	0.0432117	320.732	0.0616703
2.5	401.179	0.00471875	400.915	0.00846254
3	481.415	0.0117789	481.098	0.0253349
3.5	561.651	0.00386832	561.281	0.00971249
4	641.887	0.00455824	641.464	0.0130996
4.5	722.123	0.00172662	721.647	0.00557919
5	802.359	0.00254684	801.83	0.00920929
5.5	882.594	0.0008876	882.013	0.00330844
6	962.83	0.00513457	962.196	0.02508
#depth	real_P(x)	real_F(x)	est_P(x)	est_F(x)
4	0.0199996	0.00121967	1.13061e-19	6.65295e-20
5	0.0118335	0.000902073	2.9057e-19	1.73122e-19
6	0.00771649	0.00070588	7.37522e-19	4.44911e-19
7	0.00535852	0.000571878	1.84879e-18	1.12922e-18
8	0.00389749	0.000475374	4.57705e-18	2.83052e-18
9	0.00296106	0.000406303	1.11911e-17	7.00711e-18
10	0.00232434	0.000354372	2.70238e-17	1.71315e-17
11	0.00187136	0.000313842	6.44476e-17	4.13652e-17
12	0.00155275	0.000284082	1.51794e-16	9.86411e-17
13	0.00131495	0.000260624	3.53094e-16	2.32309e-16
14	0.00112845	0.000240862	8.11172e-16	5.40326e-16
15	0.000992637	0.000227008	1.84045e-15	1.24117e-15
16	0.00088326	0.000215461	4.12401e-15	2.81572e-15
17	0.000781055	0.000202437	9.12651e-15	6.30857e-15
18	0.00069765	0.000191457	1.9947e-14	1.39591e-14
19	0.000630742	0.000182711	4.30562e-14	3.05047e-14
20	0.000573455	0.000174859	9.17872e-14	6.58354e-14
21	0.000531814	0.00017027	1.93248e-13	1.40325e-13
22	0.000485694	0.000162909	4.01825e-13	2.95391e-13
23	0.000451559	0.000158344	8.25173e-13	6.14103e-13
24	0.000421594	0.000154264	1.67356e-12	1.26087e-12
25	0.00039868	0.000151958	3.35215e-12	2.5567e-12
26	0.000380642	0.000150886	6.63122e-12	5.12007e-12
27	0.000365026	0.000150261	1.29554e-11	1.01264e-11
28	0.0003519	0.000150223	2.49974e-11	1.97796e-11
29	0.000338821	0.000149806	4.76351e-11	3.81561e-11
30	0.000331002	0.000151395	8.96492e-11	7.26933e-11
31	0.000319367	0.000150942	1.6663e-10	1.36776e-10
32	0.00031119	0.000151822	3.05877e-10	2.54159e-10
33	0.000305065	0.000153485	5.54533e-10	4.66431e-10
34	0.000295991	0.000153432	9.92877e-10	8.45382e-10
35	0.000287235	0.000153273	1.7557e-09	1.51322e-09
36	0.000282022	0.000154791	3.06615e-09	2.67506e-09
