# BUSCO version is: 5.7.1 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	ptg000006l	1760384	1693338	-	5090.5	3609	https://www.orthodb.org/v10?query=2at3193	Midasin
5at3193	Complete	ptg000022l	2206285	2256281	+	6339.1	3876	https://www.orthodb.org/v10?query=5at3193	sacsin
23at3193	Complete	ptg000009l	31706759	31735280	+	6577.6	3781	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG
79at3193	Complete	ptg000028l	3563572	3585848	+	4251.8	2720	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	ptg000010l	4765748	4697763	-	3664.8	2071	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA
255at3193	Duplicated	ptg000027l	675278	725119	+	3958.7	2072	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
255at3193	Duplicated	ptg000028l	773001	699908	-	3928.1	2072	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR
364at3193	Complete	ptg000016l	8601268	8630088	+	2176.9	1578	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	ptg000009l	516625	485239	-	4081.9	2088	https://www.orthodb.org/v10?query=438at3193	dnaJ homolog subfamily C GRV2
453at3193	Complete	ptg000018l	3277004	3360757	+	2647.4	1603	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1
469at3193	Complete	ptg000026l	12563511	12616267	+	3041.2	1867	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2
727at3193	Complete	ptg000016l	5736955	5747398	+	2654.5	1328	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1
827at3193	Complete	ptg000037l	2845411	2871966	+	2253.2	1497	https://www.orthodb.org/v10?query=827at3193	Protein virilizer
840at3193	Complete	ptg000026l	11906612	11840103	-	3037.5	1627	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A
938at3193	Complete	ptg000026l	11217155	11198446	-	2124.2	1325	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical
1073at3193	Complete	ptg000007l	4001089	3981784	-	2062.2	1440	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type
1171at3193	Complete	ptg000030l	4556873	4525783	-	2052.8	1166	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205
1259at3193	Complete	ptg000009l	35014307	34981262	-	2077.4	1476	https://www.orthodb.org/v10?query=1259at3193	nuclear pore complex protein GP210
1332at3193	Complete	ptg000012l	26164499	26129648	-	2179.0	1252	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase
1388at3193	Complete	ptg000004l	6196250	6228251	+	1948.3	1410	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin
1440at3193	Complete	ptg000004l	1002444	1019405	+	2787.9	1319	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius
1521at3193	Complete	ptg000028l	9043400	9024576	-	1618.7	1070	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
1578at3193	Complete	ptg000014l	9227334	9185405	-	2077.8	1187	https://www.orthodb.org/v10?query=1578at3193	protein MON2 homolog isoform X1
1589at3193	Complete	ptg000019l	25835162	25794973	-	2368.6	1377	https://www.orthodb.org/v10?query=1589at3193	protein SHOOT GRAVITROPISM 6 isoform X1
1664at3193	Complete	ptg000026l	12699844	12736686	+	2328.2	1324	https://www.orthodb.org/v10?query=1664at3193	Embryo defective 2410
1816at3193	Complete	ptg000009l	36371626	36379933	+	2416.4	1590	https://www.orthodb.org/v10?query=1816at3193	thyroid adenoma-associated protein homolog
1822at3193	Duplicated	ptg000005l	1930749	1940906	+	1247.1	866	https://www.orthodb.org/v10?query=1822at3193	histone-lysine N-methyltransferase SUVR5
1822at3193	Duplicated	ptg000016l	16411351	16400635	-	1224.5	866	https://www.orthodb.org/v10?query=1822at3193	histone-lysine N-methyltransferase SUVR5
1914at3193	Complete	ptg000020l	3796357	3805072	+	1506.0	862	https://www.orthodb.org/v10?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Complete	ptg000016l	17877068	17888793	+	2031.4	1125	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase
1998at3193	Complete	ptg000032l	786854	749165	-	1481.7	1118	https://www.orthodb.org/v10?query=1998at3193	nuclear pore complex protein NUP160
2028at3193	Complete	ptg000023l	206220	175051	-	1987.0	1074	https://www.orthodb.org/v10?query=2028at3193	protein NAP1
2050at3193	Duplicated	ptg000012l	25901153	25912637	+	1566.0	1260	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2
2050at3193	Duplicated	ptg000028l	3127537	3112627	-	1602.6	1246	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2
2203at3193	Complete	ptg000005l	17255866	17263215	+	1966.7	1110	https://www.orthodb.org/v10?query=2203at3193	WD40-repeat-containing domain
2325at3193	Complete	ptg000029l	34318059	34291928	-	1369.6	881	https://www.orthodb.org/v10?query=2325at3193	Dicer dimerisation domain
2329at3193	Complete	ptg000037l	1493661	1499326	+	2477.1	1195	https://www.orthodb.org/v10?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic
2653at3193	Complete	ptg000009l	2354970	2341845	-	2148.7	1199	https://www.orthodb.org/v10?query=2653at3193	WD40-repeat-containing domain
2661at3193	Complete	ptg000006l	5129515	5095222	-	1901.8	1169	https://www.orthodb.org/v10?query=2661at3193	ABC transporter C family member 13 isoform X1
2694at3193	Complete	ptg000010l	5994556	5939352	-	2072.1	1088	https://www.orthodb.org/v10?query=2694at3193	protein PIR
2770at3193	Complete	ptg000030l	606613	613307	+	1576.7	1014	https://www.orthodb.org/v10?query=2770at3193	nuclear pore complex protein NUP133
2834at3193	Complete	ptg000006l	323916	300378	-	2353.4	1532	https://www.orthodb.org/v10?query=2834at3193	Putative P-loop containing nucleoside triphosphate hydrolase
2844at3193	Fragmented	ptg000018l	5556140	5540735	-	1477.9	788	https://www.orthodb.org/v10?query=2844at3193	cleavage and polyadenylation specificity factor subunit 1
2884at3193	Complete	ptg000009l	26512498	26501786	-	1342.0	892	https://www.orthodb.org/v10?query=2884at3193	protein TONSOKU isoform X1
2921at3193	Complete	ptg000002l	4283881	4278450	-	2027.0	1191	https://www.orthodb.org/v10?query=2921at3193	pentatricopeptide repeat-containing protein At3g18110, chloroplastic
2926at3193	Complete	ptg000020l	3070359	3057804	-	1766.7	949	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog
3052at3193	Complete	ptg000039l	1374428	1460467	+	1477.4	908	https://www.orthodb.org/v10?query=3052at3193	protein CHROMATIN REMODELING 20 isoform X1
3082at3193	Complete	ptg000002l	5813884	5825081	+	1453.3	924	https://www.orthodb.org/v10?query=3082at3193	Tetratricopeptide-like helical
3272at3193	Complete	ptg000009l	33278572	33296555	+	1926.4	1064	https://www.orthodb.org/v10?query=3272at3193	DNA ligase
3288at3193	Complete	ptg000021l	1360741	1372784	+	1398.5	830	https://www.orthodb.org/v10?query=3288at3193	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1
3322at3193	Complete	ptg000009l	30816030	30803116	-	2078.9	1227	https://www.orthodb.org/v10?query=3322at3193	Sister chromatid cohesion protein
3441at3193	Complete	ptg000025l	1507628	1511432	+	2258.4	1112	https://www.orthodb.org/v10?query=3441at3193	5-oxoprolinase
3493at3193	Complete	ptg000039l	5452768	5494783	+	2340.4	1450	https://www.orthodb.org/v10?query=3493at3193	rRNA biogenesis protein RRP5
3595at3193	Complete	ptg000020l	978051	982805	+	1671.2	1087	https://www.orthodb.org/v10?query=3595at3193	protein TORNADO 1
3662at3193	Complete	ptg000006l	7842663	7837804	-	1562.0	1027	https://www.orthodb.org/v10?query=3662at3193	Elongator complex protein 1
