The task: 【mappingdata】 starts at Fri Jun 21 10:52:03 CST 2024
[01;35m#######Data#######[0m
Genome: 03.hic/03.hic_afterjuicebox/output/SHJ/03.hic/HiC.review.assembly.chr.fa
NGS_Data: kehu/02.ngs/NGS-1r_1.fq.gz, kehu/02.ngs/NGS-1r_2.fq.gz
Data_Type: ngs
WorkDir: 03.hic/03.hic_afterjuicebox/02.other_work/01.mapping_ngs/tmp_of_mapping
Output: 03.hic/03.hic_afterjuicebox/02.other_work/01.mapping_ngs/output_of_mapping

[01;35m#######Run#######[0m
0. start mapping...
1. mapping finish.
2. samtools flagstat...
3. get gc-depth...
3.1. samtools index...
3.2. pandepth...
4. plot gc-depth distribution
5. plot each-depath distribution
[01;35m#######Result#######[0m
Total Mapping:
Data_Type  Mapping_Rate(%)  Paired_Mapping_Rate  Average_Depth(X)  Coverage(%)
ngs        99.79            95.64                141.70            99.00
Each Mapping:
#Chr         Length     CoveredSite  TotalDepth   GC(%)  Coverage(%)  MeanDepth
chr1         166052527  164636598    23127263004  39.76  99.15        139.28
chr2         164359933  163072298    22862127722  39.66  99.22        139.10
chr3         158491859  157718140    22189750514  40.40  99.51        140.01
chr4         152223113  150971267    20579778474  39.53  99.18        135.19
chr5         130620841  129708641    17967510914  39.98  99.30        137.55
chr6         125426829  124638510    17076873745  39.64  99.37        136.15
chr7         106951117  105464029    13885637211  39.80  98.61        129.83
chr8         99858930   98768880     13210840286  39.81  98.91        132.30
chr9         97160323   96012885     13149439934  39.53  98.82        135.34
chr10        92715395   92393899     13270472469  40.44  99.65        143.13
chr11        84580661   83728736     11789385072  39.63  98.99        139.39
chr12        82012617   81574558     11274932052  39.54  99.47        137.48
Scaffold1    306791     302414       70084724     62.26  98.57        228.44
Scaffold2    138385     137624       35528718     63.52  99.45        256.74
Scaffold3    27704      27575        6400861      62.58  99.53        231.04
Scaffold4    316015     315027       76792133     64.03  99.69        243.00
Scaffold5    135824     135710       38465952     63.54  99.92        283.20
Scaffold6    365751     364872       82078047     64.08  99.76        224.41
Scaffold7    106485     105956       21207535     64.01  99.50        199.16
Scaffold8    36247      36230        57755948     40.24  99.95        1593.40
Scaffold9    436041     433032       99335295     63.77  99.31        227.81
Scaffold10   153198     149289       28408104     63.82  97.45        185.43
Scaffold11   120398     117718       22432862     63.59  97.77        186.32
Scaffold12   234012     228919       44555411     64.62  97.82        190.40
Scaffold13   61223      60672        11284076     63.79  99.10        184.31
Scaffold14   31230      18505        56441        27.29  59.25        1.81
Scaffold15   40489      13652        35852        29.29  33.72        0.89
Scaffold16   234895     234122       66010647     63.64  99.67        281.02
Scaffold17   326035     315716       55011012     63.69  96.84        168.73
Scaffold18   903704     891504       174711676    63.63  98.65        193.33
Scaffold19   886382     881289       160131827    63.68  99.43        180.66
Scaffold20   1509262    1501587      297565289    63.64  99.49        197.16
Scaffold21   491487     486144       91403435     63.74  98.91        185.97
Scaffold22   322762     318944       56582962     63.69  98.82        175.31
Scaffold23   181958     181310       33585672     63.79  99.64        184.58
Scaffold24   162648     10968        112629       35.22  6.74         0.69
Scaffold25   161183     155159       206491354    46.32  96.26        1281.10
Scaffold26   153775     151930       30074776     63.40  98.80        195.58
Scaffold27   146153     141317       207752875    46.69  96.69        1421.48
Scaffold28   145666     130292       197450106    46.22  89.45        1355.50
Scaffold29   139341     139316       206882514    39.15  99.98        1484.72
Scaffold30   132797     8811         29457        34.85  6.63         0.22
Scaffold31   115588     113594       162257909    46.39  98.27        1403.76
Scaffold32   107878     105039       19551727     63.75  97.37        181.24
Scaffold33   96224      92491        15448353     63.71  96.12        160.55
Scaffold34   77619      1458         2445         60.33  1.88         0.03
Scaffold35   71162      71162        99716086     38.20  100.00       1401.25
Scaffold36   65478      65428        93446905     38.90  99.92        1427.15
Scaffold37   63666      63665        93752532     38.33  100.00       1472.57
Scaffold38   62933      61436        50040110     46.51  97.62        795.13
Scaffold39   61364      270          291          56.13  0.44         0.00
Scaffold40   61283      60626        54472823     46.74  98.93        888.87
Scaffold41   60960      64           142          57.03  0.10         0.00
Scaffold42   59353      55212        57447632     47.19  93.02        967.90
Scaffold43   59335      58686        62225520     46.67  98.91        1048.72
Scaffold44   56811      56404        12120797     63.37  99.28        213.35
Scaffold45   56240      51948        51267923     46.99  92.37        911.59
Scaffold46   55346      801          834          41.18  1.45         0.02
Scaffold47   55190      55190        76157918     38.19  100.00       1379.92
Scaffold48   54228      54228        83465648     40.07  100.00       1539.16
Scaffold49   54168      54168        75369588     39.74  100.00       1391.40
Scaffold50   52209      51626        68514229     46.29  98.88        1312.31
Scaffold51   51803      22405        54033        27.18  43.25        1.04
Scaffold52   51577      51576        76200280     40.18  100.00       1477.41
Scaffold53   51002      51002        77855823     40.48  100.00       1526.52
Scaffold54   50481      50481        76825639     38.20  100.00       1521.87
Scaffold55   49261      49164        73440251     38.24  99.80        1490.84
Scaffold56   48768      48112        36435127     46.40  98.65        747.11
Scaffold57   48687      48685        71329102     40.08  100.00       1465.05
Scaffold58   48308      48308        78332731     40.53  100.00       1621.53
Scaffold59   48066      47964        86687532     37.84  99.79        1803.51
Scaffold60   47794      47022        85020147     46.97  98.38        1778.89
Scaffold61   47077      47077        69308726     38.76  100.00       1472.24
Scaffold62   47066      47065        65094632     37.93  100.00       1383.05
Scaffold63   46275      46255        68182380     38.06  99.96        1473.42
Scaffold64   46247      46247        75363565     39.00  100.00       1629.59
Scaffold65   45918      45917        70263980     39.44  100.00       1530.21
Scaffold66   45612      45612        64715041     38.37  100.00       1418.82
