Query        Ref    MapLen   QueryLen    Rate(%)
Scaffold116  chr2   20,815   83,606      24.90
Scaffold393  chr10  2,480    10,000      24.80
Scaffold2    chr15  44,193   179,024     24.69
Scaffold449  chr9   154,500  630,802     24.49
Scaffold128  chr2   18,391   75,649      24.31
Scaffold162  chr1   7,498    31,484      23.82
Scaffold196  chr5   17,112   72,462      23.62
Scaffold267  chr15  28,273   120,874     23.39
Scaffold36   chr12  18,962   82,494      22.99
Scaffold322  chr5   10,467   45,631      22.94
Scaffold173  chr4   9,942    43,463      22.87
Scaffold359  chr16  6,016    26,529      22.68
Scaffold120  chr1   13,025   58,399      22.30
Scaffold139  chr4   11,066   49,957      22.15
Scaffold202  chr2   12,031   55,047      21.86
Scaffold299  chr16  13,284   61,601      21.56
Scaffold172  chr4   7,353    34,246      21.47
Scaffold197  chr1   6,790    32,504      20.89
Scaffold448  chr9   96,649   475,080     20.34
Scaffold394  chr12  395,541  1,950,000   20.28
Scaffold107  chr1   88,946   438,845     20.27
Scaffold276  chr9   17,857   90,026      19.84
Scaffold450  chr15  162,948  821,824     19.83
Scaffold138  chr10  26,863   138,672     19.37
Scaffold218  chr15  41,974   219,068     19.16
Scaffold408  chr2   333,515  1,748,609   19.07
Scaffold420  chr13  222,634  1,205,394   18.47
Scaffold405  chr2   110,119  605,325     18.19
Scaffold434  chr6   1,772    10,000      17.72
Scaffold179  chr2   10,586   60,518      17.49
Scaffold438  chr1   332,331  1,910,000   17.40
Scaffold112  chr17  80,018   473,174     16.91
Scaffold447  chr1   551,531  3,266,905   16.88
Scaffold189  chr10  16,691   99,967      16.70
Scaffold429  chr3   295,809  1,771,754   16.70
Scaffold424  chr13  10,749   64,572      16.65
Scaffold201  chr17  44,244   273,453     16.18
Scaffold147  chr4   27,880   174,552     15.97
Scaffold141  chr16  6,384    40,068      15.93
Scaffold144  chr8   10,474   65,991      15.87
Scaffold433  chr3   752,018  4,849,016   15.51
Scaffold117  chr16  8,985    58,671      15.31
Scaffold297  chr17  10,032   66,386      15.11
Scaffold407  chr2   43,255   286,888     15.08
Scaffold119  chr2   19,403   129,385     15.00
Scaffold402  chr4   166,191  1,113,408   14.93
Scaffold66   chr6   31,586   212,166     14.89
Scaffold129  chr1   20,062   137,621     14.58
Scaffold430  chr8   229,186  1,590,297   14.41
Scaffold400  chr17  19,510   135,892     14.36
Scaffold118  chr2   11,850   83,138      14.25
Scaffold200  chr5   19,427   141,046     13.77
Scaffold203  chr12  44,068   329,766     13.36
Scaffold403  chr17  186,797  1,404,090   13.30
Scaffold132  chr14  13,034   98,270      13.26
Scaffold171  chr17  7,181    54,628      13.15
Scaffold124  chr7   21,129   163,442     12.93
Scaffold413  chr5   591,394  4,584,088   12.90
Scaffold418  chr14  417,961  3,255,416   12.84
Scaffold135  chr12  8,746    68,897      12.69
Scaffold158  chr12  6,929    55,075      12.58
